gen,best,avg,stable
283,375163.509965,379708.521604,24
284,375163.509965,378549.608913,25
285,375163.509965,377633.535606,26
286,375162.582457,381706.084721,27
287,375148.935931,379595.000577,0
288,375119.649438,382522.580461,0
289,375119.649438,379704.530843,0
290,375119.649438,382987.351294,1
291,375118.306169,384897.334566,2
292,375089.699214,387535.120723,0
293,375087.575325,381953.365072,0
294,375085.429587,382905.611440,0
295,375085.429587,381181.048513,0
296,375075.927648,381677.599674,1
297,375075.082587,380709.235839,0
298,375013.673943,381662.082259,0
299,375013.673943,381803.287570,0
300,375013.673943,380366.738430,1
301,375013.673943,382114.255640,2
302,375013.673943,379542.582823,3
303,375013.673943,378240.940318,4
304,375013.673943,380150.796775,5
305,375013.673943,382334.253492,6
306,375013.673943,380035.564005,7
307,375013.673943,383845.036295,8
308,375013.673943,377629.523123,9
309,375013.673943,378142.519066,10
310,375013.673943,379599.486050,11
311,375013.673943,377429.368876,12
312,375013.673943,376735.084304,13
313,375013.673943,380313.817881,14
314,375013.673943,378906.066533,15
315,375013.673943,384526.494767,16
316,375013.673943,381206.662233,17
317,375013.673943,378974.472145,18
318,375013.673943,376890.395808,19
319,375013.673943,378229.688623,20
320,375013.673943,379363.190577,21
321,375013.673943,378612.755982,22
322,375013.673943,378666.521426,23
323,375013.673943,377699.349017,24
324,375013.673943,377296.097279,25
325,375013.673943,382172.469684,26
326,375013.673943,382941.713558,27
327,375013.673943,379207.183886,28
328,375013.673943,380461.692674,29
329,375013.673943,380723.423083,30
330,375013.673943,382145.518224,31
331,375013.673943,378817.365423,32
332,375013.673943,377409.603359,33
333,375013.673943,380815.510214,34
334,375013.673943,380240.373298,35
335,375013.673943,379822.000540,36
336,375013.673943,381876.777177,37
337,375013.673943,380571.546515,38
338,375013.673943,381732.666448,39
339,375013.673943,386264.501509,40
340,375013.673943,386227.319106,41
341,375013.673943,381636.712458,42
342,375013.673943,383276.436166,43
343,375013.673943,381195.308143,44
344,375013.673943,381004.875878,45
345,375013.673943,381221.089827,46
346,375013.673943,379775.985373,47
347,375013.673943,378195.422393,48
348,375013.673943,382027.224666,49
349,375013.673943,382110.294454,50
350,375013.673943,381679.268239,51
